City,Country,Region,Month_Num,Month,Avg_Temp_C,AQI
Delhi,India,South Asia,1,Jan,14.3,312
Delhi,India,South Asia,2,Feb,16.8,285
Delhi,India,South Asia,3,Mar,22.6,241
Delhi,India,South Asia,4,Apr,29.4,198
Delhi,India,South Asia,5,May,34.1,162
Delhi,India,South Asia,6,Jun,33.8,140
Delhi,India,South Asia,7,Jul,31.2,135
Delhi,India,South Asia,8,Aug,30.5,148
Delhi,India,South Asia,9,Sep,29.1,172
Delhi,India,South Asia,10,Oct,24.8,215
Delhi,India,South Asia,11,Nov,18.9,278
Delhi,India,South Asia,12,Dec,14.7,305
Mumbai,India,South Asia,1,Jan,24.5,145
Mumbai,India,South Asia,2,Feb,25.1,138
Mumbai,India,South Asia,3,Mar,27.8,125
Mumbai,India,South Asia,4,Apr,30.2,112
Mumbai,India,South Asia,5,May,32.4,105
Mumbai,India,South Asia,6,Jun,31.0,98
Mumbai,India,South Asia,7,Jul,29.5,100
Mumbai,India,South Asia,8,Aug,29.2,108
Mumbai,India,South Asia,9,Sep,29.5,118
Mumbai,India,South Asia,10,Oct,30.1,130
Mumbai,India,South Asia,11,Nov,27.8,138
Mumbai,India,South Asia,12,Dec,25.0,142
London,UK,Europe,1,Jan,5.2,45
London,UK,Europe,2,Feb,5.6,42
London,UK,Europe,3,Mar,7.8,40
London,UK,Europe,4,Apr,10.5,38
London,UK,Europe,5,May,13.9,36
London,UK,Europe,6,Jun,17.1,35
London,UK,Europe,7,Jul,19.4,34
London,UK,Europe,8,Aug,19.1,35
London,UK,Europe,9,Sep,16.2,37
London,UK,Europe,10,Oct,12.2,40
London,UK,Europe,11,Nov,8.1,43
London,UK,Europe,12,Dec,5.6,46
Berlin,Germany,Europe,1,Jan,1.2,35
Berlin,Germany,Europe,2,Feb,2.4,33
Berlin,Germany,Europe,3,Mar,6.5,31
Berlin,Germany,Europe,4,Apr,11.2,29
Berlin,Germany,Europe,5,May,16.1,28
Berlin,Germany,Europe,6,Jun,18.9,27
Berlin,Germany,Europe,7,Jul,20.5,26
Berlin,Germany,Europe,8,Aug,20.1,28
Berlin,Germany,Europe,9,Sep,15.8,30
Berlin,Germany,Europe,10,Oct,10.6,32
Berlin,Germany,Europe,11,Nov,5.2,34
Berlin,Germany,Europe,12,Dec,1.8,36
Beijing,China,East Asia,1,Jan,-2.9,178
Beijing,China,East Asia,2,Feb,0.5,165
Beijing,China,East Asia,3,Mar,7.1,148
Beijing,China,East Asia,4,Apr,14.9,132
Beijing,China,East Asia,5,May,20.6,115
Beijing,China,East Asia,6,Jun,25.4,105
Beijing,China,East Asia,7,Jul,27.3,110
Beijing,China,East Asia,8,Aug,25.9,120
Beijing,China,East Asia,9,Sep,20.2,135
Beijing,China,East Asia,10,Oct,13.0,148
Beijing,China,East Asia,11,Nov,4.4,162
Beijing,China,East Asia,12,Dec,-1.3,175
Tokyo,Japan,East Asia,1,Jan,5.8,52
Tokyo,Japan,East Asia,2,Feb,6.3,50
Tokyo,Japan,East Asia,3,Mar,9.5,47
Tokyo,Japan,East Asia,4,Apr,14.6,44
Tokyo,Japan,East Asia,5,May,18.9,42
Tokyo,Japan,East Asia,6,Jun,22.1,40
Tokyo,Japan,East Asia,7,Jul,25.8,41
Tokyo,Japan,East Asia,8,Aug,27.1,43
Tokyo,Japan,East Asia,9,Sep,23.2,45
Tokyo,Japan,East Asia,10,Oct,17.8,48
Tokyo,Japan,East Asia,11,Nov,12.5,50
Tokyo,Japan,East Asia,12,Dec,7.6,52
Cairo,Egypt,Africa,1,Jan,13.5,175
Cairo,Egypt,Africa,2,Feb,14.8,168
Cairo,Egypt,Africa,3,Mar,17.6,155
Cairo,Egypt,Africa,4,Apr,21.5,145
Cairo,Egypt,Africa,5,May,25.4,135
Cairo,Egypt,Africa,6,Jun,27.9,128
Cairo,Egypt,Africa,7,Jul,28.5,132
Cairo,Egypt,Africa,8,Aug,28.1,138
Cairo,Egypt,Africa,9,Sep,26.2,148
Cairo,Egypt,Africa,10,Oct,22.8,158
Cairo,Egypt,Africa,11,Nov,18.5,168
Cairo,Egypt,Africa,12,Dec,14.8,172
Nairobi,Kenya,Africa,1,Jan,18.5,58
Nairobi,Kenya,Africa,2,Feb,18.8,55
Nairobi,Kenya,Africa,3,Mar,19.2,52
Nairobi,Kenya,Africa,4,Apr,18.9,50
Nairobi,Kenya,Africa,5,May,17.8,48
Nairobi,Kenya,Africa,6,Jun,16.2,46
Nairobi,Kenya,Africa,7,Jul,15.8,45
Nairobi,Kenya,Africa,8,Aug,16.1,46
Nairobi,Kenya,Africa,9,Sep,17.5,48
Nairobi,Kenya,Africa,10,Oct,18.9,50
Nairobi,Kenya,Africa,11,Nov,18.6,54
Nairobi,Kenya,Africa,12,Dec,18.2,57
Lagos,Nigeria,Africa,1,Jan,27.2,185
Lagos,Nigeria,Africa,2,Feb,28.1,178
Lagos,Nigeria,Africa,3,Mar,28.8,165
Lagos,Nigeria,Africa,4,Apr,28.5,152
Lagos,Nigeria,Africa,5,May,27.4,142
Lagos,Nigeria,Africa,6,Jun,25.8,135
Lagos,Nigeria,Africa,7,Jul,24.9,138
Lagos,Nigeria,Africa,8,Aug,25.1,148
Lagos,Nigeria,Africa,9,Sep,26.2,158
Lagos,Nigeria,Africa,10,Oct,27.5,168
Lagos,Nigeria,Africa,11,Nov,27.8,178
Lagos,Nigeria,Africa,12,Dec,27.1,182
Sydney,Australia,Oceania,1,Jan,22.8,38
Sydney,Australia,Oceania,2,Feb,22.5,36
Sydney,Australia,Oceania,3,Mar,21.2,34
Sydney,Australia,Oceania,4,Apr,18.8,32
Sydney,Australia,Oceania,5,May,15.9,30
Sydney,Australia,Oceania,6,Jun,13.1,29
Sydney,Australia,Oceania,7,Jul,12.4,28
Sydney,Australia,Oceania,8,Aug,13.5,30
Sydney,Australia,Oceania,9,Sep,16.2,32
Sydney,Australia,Oceania,10,Oct,18.9,34
Sydney,Australia,Oceania,11,Nov,20.7,36
Sydney,Australia,Oceania,12,Dec,22.4,38
New York,USA,North America,1,Jan,-0.3,62
New York,USA,North America,2,Feb,1.2,60
New York,USA,North America,3,Mar,5.8,58
New York,USA,North America,4,Apr,12.1,55
New York,USA,North America,5,May,17.8,52
New York,USA,North America,6,Jun,22.9,50
New York,USA,North America,7,Jul,25.8,51
New York,USA,North America,8,Aug,25.1,53
New York,USA,North America,9,Sep,20.9,55
New York,USA,North America,10,Oct,14.5,58
New York,USA,North America,11,Nov,8.1,60
New York,USA,North America,12,Dec,2.1,62
Sao Paulo,Brazil,South America,1,Jan,22.1,85
Sao Paulo,Brazil,South America,2,Feb,22.5,88
Sao Paulo,Brazil,South America,3,Mar,21.8,82
Sao Paulo,Brazil,South America,4,Apr,19.8,79
Sao Paulo,Brazil,South America,5,May,18.1,76
Sao Paulo,Brazil,South America,6,Jun,16.8,72
Sao Paulo,Brazil,South America,7,Jul,16.2,70
Sao Paulo,Brazil,South America,8,Aug,17.1,74
Sao Paulo,Brazil,South America,9,Sep,18.5,78
Sao Paulo,Brazil,South America,10,Oct,19.8,82
Sao Paulo,Brazil,South America,11,Nov,20.9,86
Sao Paulo,Brazil,South America,12,Dec,21.8,87
